"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000223972.5",0,NA,NA,NA,NA,NA
"ENSG00000227232.5",0,NA,NA,NA,NA,NA
"ENSG00000278267.1",0,NA,NA,NA,NA,NA
"ENSG00000243485.5",0.0350399120170001,0.121139832064159,2.93468496832229,0.0412786494536116,0.967073753828364,NA
"ENSG00000284332.1",0,NA,NA,NA,NA,NA
"ENSG00000237613.2",0,NA,NA,NA,NA,NA
"ENSG00000268020.3",0,NA,NA,NA,NA,NA
"ENSG00000240361.2",0,NA,NA,NA,NA,NA
"ENSG00000186092.6",0,NA,NA,NA,NA,NA
"ENSG00000238009.6",0,NA,NA,NA,NA,NA
"ENSG00000239945.1",0,NA,NA,NA,NA,NA
"ENSG00000233750.3",0.0170160451580777,-0.177345369455206,2.93468496832229,-0.0604308030911378,0.951812526161153,NA
"ENSG00000268903.1",0,NA,NA,NA,NA,NA
"ENSG00000269981.1",0,NA,NA,NA,NA,NA
"ENSG00000239906.1",0,NA,NA,NA,NA,NA
"ENSG00000241860.7",0,NA,NA,NA,NA,NA
"ENSG00000222623.1",0,NA,NA,NA,NA,NA
"ENSG00000241599.1",0,NA,NA,NA,NA,NA
"ENSG00000279928.2",0,NA,NA,NA,NA,NA
"ENSG00000279457.4",0,NA,NA,NA,NA,NA
"ENSG00000273874.1",0,NA,NA,NA,NA,NA
"ENSG00000228463.10",0,NA,NA,NA,NA,NA
"ENSG00000286448.1",0.427093758223744,-0.068984555226974,0.642385380836368,-0.107388115117374,0.914481082744467,0.972851230675909
"ENSG00000236679.2",0,NA,NA,NA,NA,NA
"ENSG00000236601.2",0,NA,NA,NA,NA,NA
"ENSG00000237094.12",0.0158197035405342,0.0216449077087263,2.93468496832229,0.00737554727078606,0.994115218059295,NA
"ENSG00000269732.1",0,NA,NA,NA,NA,NA
"ENSG00000284733.1",0,NA,NA,NA,NA,NA
"ENSG00000233653.3",0,NA,NA,NA,NA,NA
"ENSG00000250575.1",0,NA,NA,NA,NA,NA
"ENSG00000278757.1",0,NA,NA,NA,NA,NA
"ENSG00000230021.10",2.0084802336253,-0.13413400927962,0.334690168927062,-0.40077068803551,0.688588961539707,0.902251557577021
"ENSG00000235146.2",0,NA,NA,NA,NA,NA
"ENSG00000225972.1",0.778836449927576,-0.599337237301502,2.31418271840973,-0.258984406258706,0.7956472721321,0.938728823126493
"ENSG00000225630.1",2.082487628363,-1.48133035335842,0.524607111652222,-2.82369476214885,0.00474735727194501,0.064544093377215
"ENSG00000237973.1",0.995638831042024,-0.712230029269187,0.745388529311555,-0.955515145808598,0.339317249770616,0.725119289902952
"ENSG00000278791.1",5.63834560990689,0.291189920756643,0.381486757909217,0.763302826951434,0.445282816539634,0.802944130599358
"ENSG00000229344.1",0.583293716228627,-0.734290313841389,1.36888533341842,-0.536414771869678,0.591671924480349,0.864394944646332
"ENSG00000240409.1",0,NA,NA,NA,NA,NA
"ENSG00000248527.1",24.7808298266927,-0.652774481302134,0.171554029090603,-3.80506645493813,0.000141766123668546,0.00394706733792951
"ENSG00000198744.5",0.0348544319693771,-0.276840722263707,2.93468496832229,-0.0943340512702364,0.924843801508881,NA
"ENSG00000268663.1",0,NA,NA,NA,NA,NA
"ENSG00000284662.1",0,NA,NA,NA,NA,NA
"ENSG00000229376.3",0.0950051535328135,0.32012516080718,1.64964534666647,0.194056959851446,0.846131281995853,NA
"ENSG00000228327.3",0,NA,NA,NA,NA,NA
"ENSG00000223181.1",0,NA,NA,NA,NA,NA
"ENSG00000229905.1",0,NA,NA,NA,NA,NA
"ENSG00000237491.10",0.450452006915696,-0.0807457289898255,0.622137708539707,-0.129787550057612,0.896734513210483,0.971526751876235
"ENSG00000285268.1",0,NA,NA,NA,NA,NA
"ENSG00000230092.7",0,NA,NA,NA,NA,NA
"ENSG00000177757.2",0.0858822204558141,-0.575337506343704,1.6671121906851,-0.345110250862761,0.730011487276397,NA
